时间,开盘,最高,最低,收盘,总手(万),金额(亿)
"1992-01-22,三",307.95,307.95,307.87,307.95,43900,439920
"1992-01-23,四",308.52,308.52,307.95,308.52,58300,583190
"1992-01-24,五",309.05,309.05,308.52,309.05,100400,1004033
"1992-01-27,一",311.6,311.61,309.05,311.61,75000,750773
"1992-01-28,二",311.67,311.83,311.61,311.83,82200,822810
"1992-01-29,三",312.41,312.58,311.83,312.42,45000,450211
"1992-01-30,四",312.73,312.73,312.42,312.73,54300,543800
"1992-01-31,五",313.24,313.24,312.73,313.24,58600,586786
"1992-02-03,一",314.18,314.18,313.24,314.18,58300,583325
"1992-02-07,五",314.72,314.72,314.18,314.72,52700,527451
"1992-02-10,一",315.55,315.56,314.72,315.56,58600,586553
"1992-02-11,二",316.12,316.43,315.56,316.43,46000,460159
"1992-02-12,三",316.43,316.44,316.43,316.44,39700,397279
"1992-02-13,四",317.24,317.57,317.04,317.06,102000,1686917
"1992-02-14,五",319.45,319.68,317.04,319.68,77000,770875
"1992-02-17,一",319.77,319.77,319.68,319.77,1378200,13782082
"1992-02-18,二",338.98,339.16,319.77,337.11,1265500,12655298
"1992-02-19,三",340.5,342.41,337.11,342.41,1650100,16501609
"1992-02-20,四",345.22,348.01,342.41,347.99,2000400,20004752
"1992-02-21,五",358.91,359.93,347.99,359.59,1777400,19254248
"1992-02-24,一",361.11,361.62,359.59,360.5,523100,18038445
"1992-02-25,二",359.66,361.29,357.07,360.37,729800,8037606
"1992-02-26,三",359.85,360.76,359.27,360.1,687200,8082674
"1992-02-27,四",361,363.03,360.1,362.45,1661300,17931365
"1992-02-28,五",364.15,364.67,362.45,364.66,2621300,26401859
"1992-03-02,一",365.15,365.39,364.66,365.39,502600,5644321
"1992-03-03,二",366.79,367.25,365.39,367,256600,3366071
"1992-03-04,三",367.56,368.32,366.95,368.28,21300,10365269
"1992-03-05,四",369.31,369.88,368.11,369.76,1324600,14928647
"1992-03-06,五",370.79,371.76,369.76,371.76,898200,9958408
"1992-03-09,一",372.26,374.06,371.88,373.53,1570500,22273776
"1992-03-10,二",374.48,375.23,373.53,375.23,658800,7452592
"1992-03-11,三",375.87,376.25,374.98,376.14,1086300,11238040
"1992-03-12,四",377.55,377.57,376.14,376.92,3075800,31594198
"1992-03-13,五",376.58,377.19,376.38,376.38,396400,4487903
"1992-03-16,一",377,377.42,376.38,377.05,141900,2265997
"1992-03-17,二",377.5,377.84,377.03,377.49,118200,1340086
"1992-03-18,三",377.94,378.32,377.49,377.66,75500,2252891
"1992-03-19,四",377.26,377.96,376.21,377.31,3482200,35111209
"1992-03-20,五",377.91,378.03,377.31,377.99,776400,7844940
"1992-03-23,一",378.61,379.04,377.45,378.89,2405500,24375080
"1992-03-24,二",378.53,379.5,378.05,378.69,630300,7016716
"1992-03-25,三",378.33,379.02,378.12,378.12,2033700,21445413
"1992-03-26,四",379.29,379.34,377.64,379.13,2390100,24177846
"1992-03-27,五",379.65,380.79,379.13,380.77,900,5469466
"1992-03-30,一",381.54,381.56,380.76,381.44,4012900,40359446
"1992-03-31,二",381.87,382.06,381.24,381.24,5321100,53853180
"1992-04-01,三",381.55,381.85,381.01,381.01,771600,7767958
"1992-04-02,四",381.47,381.58,381.01,381.12,314800,3193021
"1992-04-03,五",381.44,381.57,381.12,381.33,316000,3377037
"1992-04-06,一",381.97,382.08,381.33,381.47,1436900,14543601
"1992-04-07,二",381.95,382.1,381.47,381.93,3009500,30266448
"1992-04-08,三",382.53,382.59,381.92,382.43,525900,5277806
"1992-04-09,四",381.93,382.88,381.65,381.65,683700,7148212
"1992-04-10,五",381.52,382.04,381.2,382.03,1287400,13499395
"1992-04-13,一",387.27,392.28,382.03,391.11,5124700,52440252
"1992-04-14,二",393.1,400.61,391.1,400.61,2484100,25184919
"1992-04-15,三",400.35,406.72,398.23,406.72,2454600,25157481
"1992-04-16,四",404.07,410.61,403.52,410.55,4924000,57466537
"1992-04-17,五",408.56,414.42,406.19,414.42,4494500,45102529
"1992-04-20,一",417.19,420.99,413.64,413.85,2294100,23206812
"1992-04-21,二",417.99,421.55,402.89,410.06,7206000,72181075
"1992-04-22,三",400.12,410.06,399.87,399.88,7215200,73539966
"1992-04-23,四",407.13,408.86,394.6,407.25,6915400,71062030
"1992-04-24,五",405.88,415.05,397.74,414.4,4693800,47646455
"1992-04-27,一",422.45,424.92,413.47,424.58,5121600,53584928
"1992-04-28,二",434.9,436.31,424.58,436.09,4776000,53950373
"1992-04-29,三",445.25,446.12,436.09,444.16,5945100,66766725
"1992-04-30,四",435.73,448.94,433.66,445.38,4447100,52587303
"1992-05-04,一",454.86,456.24,445.38,453.62,9893300,101358171
"1992-05-05,二",447.42,455.36,439.96,449.21,7725800,78293128
"1992-05-06,三",449.78,454.08,446.39,449.96,5433300,54371218
"1992-05-07,四",452.86,457.05,449.55,454.65,5006800,51743917
"1992-05-08,五",461.05,468.42,454.65,468.11,8392400,84729008
"1992-05-11,一",483.29,491.5,468.11,490.5,9400,60653968
"1992-05-12,二",502.8,506.68,491.5,506.53,6523000,65369229
"1992-05-13,三",505.27,517.86,499.4,514.04,6420500,64664418
"1992-05-14,四",514.48,523.5,511.91,523.36,5911100,60063574
"1992-05-15,五",529.39,544.54,523.36,544.35,6228300,75109304
"1992-05-18,一",560.09,571.85,544.35,571.82,6080500,61340826
"1992-05-19,二",590.41,598.11,571.82,598.11,4735700,58722429
"1992-05-20,三",617.28,623.88,598.11,616.99,11184400,119286157
"1992-05-21,四",1260.32,1334.98,604.01,1266.49,16983000,181277350
"1992-05-22,五",1306.35,1349.71,1262.44,1339.99,19195000,204173230
"1992-05-25,一",1411.98,1428.79,1339.99,1421.57,21309100,222429080
"1992-05-26,二",1332.39,1429.01,1291,1301.33,13847200,149448660
"1992-05-27,三",1250.56,1285.59,823.36,1193.17,12975800,138824380
"1992-05-28,四",1123.04,1184.18,1114.94,1160.17,11611900,117388178
"1992-05-29,五",1243.65,1253.35,1154.01,1234.71,13529100,135997220
"1992-06-01,一",1175.69,1249.58,1129.28,1183.24,10516100,105366093
"1992-06-02,二",1155.88,1184.28,1138.58,1141.02,8428300,84509556
"1992-06-03,三",1075.9,1141.02,1033.47,1059.07,9118100,91844888
"1992-06-04,四",1087.49,1118.93,1050.45,1104.46,9411700,94263229
"1992-06-05,五",1125.01,1143.07,1099.91,1105.76,10042600,100847244
"1992-06-08,一",1092.07,1121.41,1085.19,1093.46,6571100,63968818
"1992-06-09,二",1116.92,1144.39,1079.65,1126.6,8102800,78762151
"1992-06-10,三",1199.23,1206.51,1134.73,1187.02,15419300,140149760
"1992-06-11,四",1179.28,1188.68,1172.08,1178.3,10740800,85107111
"1992-06-12,五",1164.1,1178.3,1153.97,1171.71,11381200,104835184
"1992-06-15,一",1174.41,1181.84,1152.69,1171.83,8995600,78204178
"1992-06-16,二",1171.75,1171.75,1135.61,1166.7,9213200,85477151
"1992-06-17,三",1171.29,1186.58,1166.26,1169.57,9051000,84383974
"1992-06-18,四",1167.16,1172.84,1158.32,1168.43,6335700,61629572
"1992-06-19,五",1169.97,1171.94,1161.8,1171.94,5980200,55724545
"1992-06-22,一",1173.68,1180.21,1165.74,1169.9,7047500,64265464
"1992-06-23,二",1162.83,1172.46,1154.6,1158.17,5552700,44559364
"1992-06-24,三",1150.89,1158.17,1144.46,1151.06,4371500,36497766
"1992-06-25,四",1153.48,1160.23,1148.02,1160.23,5827700,50127998
"1992-06-26,五",1164.29,1207.82,1160.23,1164.67,8954800,64137810
"1992-06-29,一",1168.89,1173.49,1156.68,1169.51,10710300,102578796
"1992-06-30,二",1186.6,1193.16,1169.51,1191.19,15946200,147621700
"1992-07-01,三",1199.54,1215.13,1182.05,1194.18,11602500,112406302
"1992-07-02,四",1187.3,1198.66,1179.84,1187.48,9552900,92341060
"1992-07-03,五",1189.08,1193.39,1183.96,1189.16,18078200,154763620
"1992-07-06,一",1197.76,1215.24,1190.27,1201.01,19252400,178472990
"1992-07-07,二",1201.01,1206.91,1195.81,1206.46,19982600,188306230
"1992-07-08,三",1192.35,1211.27,1182.72,1185.5,13018800,138880310
"1992-07-09,四",1172.44,1187.18,1168.78,1178.53,12648500,130815440
"1992-07-10,五",1175.14,1192.98,1166.45,1188.6,12928500,134101378
"1992-07-13,一",1156.83,1198.9,1131.21,1136.33,11847400,123468475
"1992-07-14,二",1124.65,1139.96,1110.19,1114.05,8971200,95340924
"1992-07-15,三",1107.18,1135.57,1100.16,1107.69,11894200,121584360
"1992-07-16,四",1114.13,1214.83,1108.23,1124.64,14819700,151032600
"1992-07-17,五",1121.49,1134.32,1116.14,1125.56,10470200,115821091
"1992-07-20,一",1100.58,1126.96,1094.81,1098.82,6322900,67313538
"1992-07-21,二",1087.59,1096.49,1079.75,1082.39,6107400,66221851
"1992-07-22,三",1059.22,1081.81,1034.91,1035.66,10127600,105623180
"1992-07-23,四",1020.07,1033.75,961.61,1014.57,12454200,137013290
"1992-07-24,五",1165.89,1178.9,1014.08,1142.02,9267000,100041780
"1992-07-27,一",1169.42,1178.81,1108.05,1149.33,11800700,122257738
"1992-07-28,二",1126.88,1148.63,1102.02,1105.95,9238500,105616882
"1992-07-29,三",1078.31,1108.06,1047.03,1087.1,7387100,85225679
"1992-07-30,四",1067.45,1087.34,1043.79,1057.4,6509500,88690330
"1992-07-31,五",1045.67,1052.07,1032.54,1052.07,5323600,77149541
"1992-08-03,一",1034.7,1060.34,1026.83,1031.55,5999700,73754403
"1992-08-04,二",1018.3,1036.33,1016.16,1035.63,5254800,63035097
